datetime,price,equity,position,action,rsi,bb_width
2023-01-03 12:00:00,1922.3221819930122,100000.0,0,WAITING (L:0 S:0),39.51973229881399,0.03142111075484567
2023-01-03 13:00:00,1923.069678018025,100000.0,0,WAITING (L:0 S:0),39.81059555074688,0.027210673319535108
2023-01-03 14:00:00,1925.5257862851718,100000.0,0,WAITING (L:0 S:0),40.817735976282066,0.026202143394048697
2023-01-03 15:00:00,1942.1463070286165,100000.0,0,WAITING (L:0 S:0),47.25013711956294,0.02567871270156723
2023-01-03 16:00:00,1939.939020018255,100000.0,0,WAITING (L:0 S:0),46.526893737572564,0.025831818696558744
2023-01-03 17:00:00,1953.028233724847,100000.0,0,WAITING (L:0 S:0),51.28848853433866,0.027877035742125283
2023-01-03 18:00:00,1944.2210181798164,100000.0,0,WAITING (L:0 S:0),48.17970213843313,0.028630888956645027
2023-01-03 19:00:00,1919.4968073694517,100000.0,0,WAITING (L:0 S:0),40.71817413109772,0.025967304615066508
2023-01-03 20:00:00,1907.7663059704153,100000.0,0,WAITING (L:0 S:0),37.73240023832609,0.027577232660064375
2023-01-03 21:00:00,1926.8625065232764,100000.0,0,WAITING (L:0 S:0),44.82529788613014,0.025939458079758993
2023-01-03 22:00:00,1956.1545545625736,100000.0,0,WAITING (L:0 S:0),53.5632699514196,0.029401864045835703
2023-01-03 23:00:00,1975.0388251178201,100000.0,0,WAITING (L:0 S:0),58.16332449370851,0.0366948927678506
2023-01-04 00:00:00,1970.8345775442297,100000.0,0,WAITING (L:0 S:0),56.81396034785356,0.04136521653370481
2023-01-04 01:00:00,1951.7100074754876,100000.0,0,WAITING (L:0 S:1),51.01600971805336,0.04149923867343008
2023-01-04 02:00:00,1912.518913552108,100000.0,0,WAITING (L:0 S:0),41.63836974885022,0.042125358458458564
2023-01-04 03:00:00,1921.557844746828,100000.0,0,WAITING (L:0 S:0),44.18660706240787,0.04230684978725003
2023-01-04 04:00:00,1919.8508137369986,100000.0,0,WAITING (L:0 S:0),43.79767608350822,0.04205605182644933
