,datetime,price,signal,action,position,equity,drawdown
0,2023-01-02 06:00:00,1882.1848430264836,0,Aguardando momentum,0,100000.0,0.0
1,2023-01-02 07:00:00,1865.5244624902273,0,Aguardando momentum,0,100000.0,0.0
2,2023-01-02 08:00:00,1879.1673400137058,0,Aguardando momentum,0,100000.0,0.0
3,2023-01-02 09:00:00,1878.8955003841202,0,Aguardando momentum,0,100000.0,0.0
4,2023-01-02 10:00:00,1881.7546033997673,0,Aguardando momentum,0,100000.0,0.0
5,2023-01-02 11:00:00,1870.3718258842875,0,Aguardando momentum,0,100000.0,0.0
6,2023-01-02 12:00:00,1874.789023474495,0,Aguardando momentum,0,100000.0,0.0
7,2023-01-02 13:00:00,1866.866792193168,-1,SHORT: 1866.87 | Stop: 1920.30 | Target: 1829.53,-1,100000.0,0.0
8,2023-01-02 14:00:00,1863.2975843314991,-1,Posição mantida,-1,100019.11870668328,0.019118706683279012
9,2023-01-02 15:00:00,1873.2769995571548,-1,Posição mantida,-1,99965.66328465001,-0.05344520400147545
10,2023-01-02 16:00:00,1845.9720498155393,-1,Posição mantida,-1,100111.92412048361,0.09278767399710564
11,2023-01-02 17:00:00,1823.6118471506559,-1,SHORT: 1823.61 | Stop: 1880.48 | Target: 1787.14,-1,100000.0,-0.11179899044684719
12,2023-01-02 18:00:00,1805.3028294253158,-1,Posição mantida,-1,100100.39975203028,-0.011511484325748117
13,2023-01-02 19:00:00,1781.7750374900638,-1,SHORT: 1781.78 | Stop: 1844.15 | Target: 1746.14,-1,100000.0,-0.11179899044684719
14,2023-01-02 20:00:00,1765.9112009429168,-1,Posição mantida,-1,100089.0338915596,-0.022864637879173328
15,2023-01-02 21:00:00,1762.878871720892,-1,Posição mantida,-1,100106.05247784698,-0.0058650781994395865
16,2023-01-02 22:00:00,1757.7181697346589,-1,Posição mantida,-1,100135.01630255912,0.023066365249070374
17,2023-01-02 23:00:00,1768.483592898112,-1,Posição mantida,-1,100074.59664835509,-0.060338187813812554
18,2023-01-03 00:00:00,1782.8992415542264,-1,Posição mantida,-1,99993.69053870153,-0.14113520831770907
19,2023-01-03 01:00:00,1808.1848624203103,-1,Posição mantida,-1,99851.77800578321,-0.28285639453045697
20,2023-01-03 02:00:00,1825.7140033574206,-1,Posição mantida,-1,99753.3977918489,-0.38110395823690313
21,2023-01-03 03:00:00,1803.726494198229,-1,Posição mantida,-1,99876.80006596631,-0.2578680726556288
22,2023-01-03 04:00:00,1789.0814804790025,-1,Posição mantida,-1,99958.99345969495,-0.17578550377653726
23,2023-01-03 05:00:00,1767.3258499931812,-1,Posição mantida,-1,100081.09434239934,-0.05384925488686854
24,2023-01-03 06:00:00,1762.892866154353,-1,Posição mantida,-1,100105.9739357574,-0.0290032077429993
