,datetime,price,signal,action,position,equity,drawdown
0,2023-01-02 06:00:00,1882.1848430264836,0,Aguardando momentum,0,100000.0,0.0
1,2023-01-02 07:00:00,1865.5244624902273,0,Aguardando momentum,0,100000.0,0.0
2,2023-01-02 08:00:00,1879.1673400137058,0,Aguardando momentum,0,100000.0,0.0
3,2023-01-02 09:00:00,1878.8955003841202,0,Aguardando momentum,0,100000.0,0.0
4,2023-01-02 10:00:00,1881.7546033997673,0,Aguardando momentum,0,100000.0,0.0
5,2023-01-02 11:00:00,1870.3718258842875,0,Aguardando momentum,0,100000.0,0.0
6,2023-01-02 12:00:00,1874.789023474495,0,Aguardando momentum,0,100000.0,0.0
7,2023-01-02 13:00:00,1866.866792193168,-1,SHORT: 1866.87 | Stop: 1920.30 | Target: 1810.86,-1,100000.0,0.0
8,2023-01-02 14:00:00,1863.2975843314991,-1,Posição mantida,-1,100038.23741336656,0.038237413366558025
9,2023-01-02 15:00:00,1873.2769995571548,-1,Posição mantida,-1,99931.32656930004,-0.106869979750593
10,2023-01-02 16:00:00,1845.9720498155393,-1,Posição mantida,-1,100223.84824096723,0.18553988194905008
11,2023-01-02 17:00:00,1823.6118471506559,-1,Posição mantida,-1,100463.39615899105,0.2390128918696829
12,2023-01-02 18:00:00,1805.3028294253158,-1,SHORT: 1805.30 | Stop: 1864.40 | Target: 1751.14,-1,100000.0,-0.4612587038742815
13,2023-01-02 19:00:00,1781.7750374900638,-1,Posição mantida,-1,100260.65202526428,-0.20180895876335722
14,2023-01-02 20:00:00,1765.9112009429168,-1,Posição mantida,-1,100436.39912196824,-0.026872510839755247
15,2023-01-02 21:00:00,1762.878871720892,-1,Posição mantida,-1,100469.99270164473,0.006566115526540995
16,2023-01-02 22:00:00,1757.7181697346589,-1,Posição mantida,-1,100527.16540311195,0.056905250940946416
17,2023-01-02 23:00:00,1768.483592898112,-1,Posição mantida,-1,100407.90094522729,-0.11863903394313219
18,2023-01-03 00:00:00,1782.8992415542264,-1,Posição mantida,-1,100248.19756005392,-0.2775049330590227
19,2023-01-03 01:00:00,1808.1848624203103,-1,Posição mantida,-1,99968.07147312883,-0.5561620361433319
20,2023-01-03 02:00:00,1825.7140033574206,-1,Posição mantida,-1,99773.875345461,-0.7493397974868565
21,2023-01-03 03:00:00,1803.726494198229,-1,Posição mantida,-1,100017.46338842873,-0.5070291325129153
22,2023-01-03 04:00:00,1789.0814804790025,-1,Posição mantida,-1,100179.70778843212,-0.3456355436727348
23,2023-01-03 05:00:00,1767.3258499931812,-1,Posição mantida,-1,100420.72696960458,-0.10588026935858984
24,2023-01-03 06:00:00,1762.892866154353,-1,Posição mantida,-1,100469.83766468104,-0.05702711123011918
25,2023-01-03 07:00:00,1777.0106005740101,-1,Posição mantida,-1,100313.43471455493,-0.21260988281125098
