datetime,price,equity,position,action
2023-01-03 12:00:00,1716.4636221262379,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-03 13:00:00,1727.1978168101027,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-03 14:00:00,1710.1528177497082,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-03 15:00:00,1712.6013520614904,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-03 16:00:00,1721.4944439877802,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-03 17:00:00,1729.0675959853886,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-03 18:00:00,1728.401055797782,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-03 19:00:00,1738.1621700887708,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-03 20:00:00,1747.8834424135202,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-03 21:00:00,1772.4790545524365,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-03 22:00:00,1764.0415208734482,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-03 23:00:00,1745.4501842435957,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-04 00:00:00,1771.998901651165,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-04 01:00:00,1770.7218555353245,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-04 02:00:00,1792.832084610562,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-04 03:00:00,1799.6873069205399,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-04 04:00:00,1789.942246789363,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-04 05:00:00,1770.0093453384472,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-04 06:00:00,1774.8526840690388,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-04 07:00:00,1772.374631236003,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-04 08:00:00,1797.381654412376,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-04 09:00:00,1802.4802207375974,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-04 10:00:00,1778.952029313525,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-04 11:00:00,1779.3648744715877,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-04 12:00:00,1745.349160955547,100000.0,0,WAIT: Baixa confiança (L:0 S:0)
2023-01-04 13:00:00,1739.742585639027,100000.0,-1,"ENTER SHORT: $1739.74 | SHORT: EMA_Bearish, MACD_Bear"
2023-01-04 14:00:00,1748.0593639561878,99928.29302691836,-1,HOLD | PnL: $-72
2023-01-04 15:00:00,1754.856189839961,99869.69103079653,-1,HOLD | PnL: $-130
2023-01-04 16:00:00,1727.526098564827,100105.33012620697,-1,HOLD | PnL: $+105
2023-01-04 17:00:00,1735.1146829721679,100039.90161566195,-1,HOLD | PnL: $+40
2023-01-04 18:00:00,1721.9661736378505,100153.26760534503,-1,HOLD | PnL: $+153
2023-01-04 19:00:00,1742.296807753269,99977.97758586248,-1,HOLD | PnL: $-22
2023-01-04 20:00:00,1724.7466883940467,100129.2941039275,-1,HOLD | PnL: $+129
2023-01-04 21:00:00,1745.9837583538665,99946.18882615429,-1,HOLD | PnL: $-54
2023-01-04 22:00:00,1724.129980225609,100134.61134028358,-1,HOLD | PnL: $+135
2023-01-04 23:00:00,1732.8149011291578,100059.73025463987,-1,HOLD | PnL: $+60
2023-01-05 00:00:00,1715.0468837437438,100212.92548190006,-1,HOLD | PnL: $+213
2023-01-05 01:00:00,1716.962041202456,100196.41306097191,-1,HOLD | PnL: $+196
