datetime,price,equity,position,action
2023-01-02 06:00:00,2015.3218676070708,100000.0,0,NO SIGNAL
2023-01-02 07:00:00,2012.7014182487978,100000.0,0,NO SIGNAL
2023-01-02 08:00:00,2023.753965453135,100000.0,0,NO SIGNAL
2023-01-02 09:00:00,2028.2272184294893,100000.0,1,ENTER LONG: 2028.23
2023-01-02 10:00:00,2021.33270537678,100000.0,1,HOLDING LONG
2023-01-02 11:00:00,2025.6452428333944,100000.0,1,HOLDING LONG
2023-01-02 12:00:00,2031.6892002440902,100000.0,1,HOLDING LONG
2023-01-02 13:00:00,2042.692568838247,100071.32016707654,0,EXIT LONG: +71
2023-01-02 14:00:00,2059.987001241883,100071.32016707654,0,NO SIGNAL
2023-01-02 15:00:00,2044.7313997149424,100071.32016707654,0,NO SIGNAL
2023-01-02 16:00:00,2070.1886029315438,100071.32016707654,0,NO SIGNAL
2023-01-02 17:00:00,2074.200728027557,100071.32016707654,0,NO SIGNAL
2023-01-02 18:00:00,2101.801858531523,100071.32016707654,0,NO SIGNAL
2023-01-02 19:00:00,2101.674869991861,100071.32016707654,0,NO SIGNAL
2023-01-02 20:00:00,2108.81975354394,100071.32016707654,0,NO SIGNAL
2023-01-02 21:00:00,2115.2049693257086,100071.32016707654,0,NO SIGNAL
2023-01-02 22:00:00,2104.446163988762,100071.32016707654,0,NO SIGNAL
2023-01-02 23:00:00,2098.4446554097112,100071.32016707654,0,NO SIGNAL
2023-01-03 00:00:00,2107.6301451206737,100071.32016707654,0,NO SIGNAL
2023-01-03 01:00:00,2108.0429118755865,100071.32016707654,0,NO SIGNAL
2023-01-03 02:00:00,2152.962777755883,100071.32016707654,0,NO SIGNAL
2023-01-03 03:00:00,2157.4361889273164,100071.32016707654,0,NO SIGNAL
2023-01-03 04:00:00,2156.2566755294088,100071.32016707654,0,NO SIGNAL
2023-01-03 05:00:00,2155.517937995825,100071.32016707654,0,NO SIGNAL
2023-01-03 06:00:00,2145.395876160428,100071.32016707654,0,NO SIGNAL
2023-01-03 07:00:00,2181.619119147266,100071.32016707654,0,NO SIGNAL
2023-01-03 08:00:00,2171.4895208384273,100071.32016707654,0,NO SIGNAL
2023-01-03 09:00:00,2185.584770975682,100071.32016707654,0,NO SIGNAL
2023-01-03 10:00:00,2202.678822365408,100071.32016707654,0,NO SIGNAL
2023-01-03 11:00:00,2224.4603284887053,100071.32016707654,0,NO SIGNAL
2023-01-03 12:00:00,2226.1562261664476,100071.32016707654,0,NO SIGNAL
2023-01-03 13:00:00,2246.5207750070967,100071.32016707654,0,NO SIGNAL
2023-01-03 14:00:00,2231.925982392028,100071.32016707654,0,NO SIGNAL
2023-01-03 15:00:00,2226.9854796540358,100071.32016707654,0,NO SIGNAL
2023-01-03 16:00:00,2226.687044488157,100071.32016707654,0,NO SIGNAL
2023-01-03 17:00:00,2233.5273429856998,100071.32016707654,0,NO SIGNAL
2023-01-03 18:00:00,2227.1364643738684,100071.32016707654,-1,ENTER SHORT: 2227.14
2023-01-03 19:00:00,2227.311724442081,100071.32016707654,-1,HOLDING SHORT
2023-01-03 20:00:00,2233.948926763985,100071.32016707654,-1,HOLDING SHORT
2023-01-03 21:00:00,2243.985193426749,100071.32016707654,-1,HOLDING SHORT
2023-01-03 22:00:00,2256.986242569283,100071.32016707654,-1,HOLDING SHORT
2023-01-03 23:00:00,2266.695974341995,100071.32016707654,-1,HOLDING SHORT
2023-01-04 00:00:00,2282.6621211604433,99821.82823577098,0,STOP LOSS SHORT: -249
2023-01-04 01:00:00,2291.0535310194673,99821.82823577098,0,NO SIGNAL
2023-01-04 02:00:00,2292.936281663262,99821.82823577098,0,NO SIGNAL
2023-01-04 03:00:00,2276.633498144317,99821.82823577098,0,NO SIGNAL
2023-01-04 04:00:00,2289.187053314457,99821.82823577098,-1,ENTER SHORT: 2289.19
2023-01-04 05:00:00,2296.2425666595504,99821.82823577098,-1,HOLDING SHORT
2023-01-04 06:00:00,2293.763018720043,99821.82823577098,-1,HOLDING SHORT
2023-01-04 07:00:00,2294.2658194113733,99821.82823577098,-1,HOLDING SHORT
2023-01-04 08:00:00,2269.300600948053,99821.82823577098,-1,HOLDING SHORT
2023-01-04 09:00:00,2281.3457637436727,99821.82823577098,-1,HOLDING SHORT
2023-01-04 10:00:00,2286.531915630965,99821.82823577098,-1,HOLDING SHORT
2023-01-04 11:00:00,2282.443584604878,99821.82823577098,-1,HOLDING SHORT
2023-01-04 12:00:00,2304.6328942503155,99821.82823577098,-1,HOLDING SHORT
2023-01-04 13:00:00,2308.6862331785806,99821.82823577098,-1,HOLDING SHORT
2023-01-04 14:00:00,2311.5380134899515,99821.82823577098,-1,HOLDING SHORT
2023-01-04 15:00:00,2333.1703508664987,99821.82823577098,-1,HOLDING SHORT
2023-01-04 16:00:00,2342.5815946393545,99588.99707742834,0,STOP LOSS SHORT: -233
2023-01-04 17:00:00,2354.4087030565493,99588.99707742834,0,NO SIGNAL
2023-01-04 18:00:00,2334.3951406813744,99588.99707742834,0,NO SIGNAL
2023-01-04 19:00:00,2326.3981162749947,99588.99707742834,-1,ENTER SHORT: 2326.40
2023-01-04 20:00:00,2339.6506623101573,99588.99707742834,-1,HOLDING SHORT
2023-01-04 21:00:00,2337.002319795205,99588.99707742834,-1,HOLDING SHORT
2023-01-04 22:00:00,2341.9800372449386,99588.99707742834,-1,HOLDING SHORT
2023-01-04 23:00:00,2315.367502381565,99588.99707742834,-1,HOLDING SHORT
2023-01-05 00:00:00,2317.105496108742,99588.99707742834,-1,HOLDING SHORT
2023-01-05 01:00:00,2297.561433056769,99588.99707742834,-1,HOLDING SHORT
2023-01-05 02:00:00,2290.6954789895617,99588.99707742834,-1,HOLDING SHORT
2023-01-05 03:00:00,2316.9560020280146,99588.99707742834,-1,HOLDING SHORT
2023-01-05 04:00:00,2350.4567483491855,99588.99707742834,-1,HOLDING SHORT
2023-01-05 05:00:00,2370.0977792632957,99588.99707742834,-1,HOLDING SHORT
2023-01-05 06:00:00,2355.5965161956938,99588.99707742834,-1,HOLDING SHORT
2023-01-05 07:00:00,2330.2646058499618,99588.99707742834,-1,HOLDING SHORT
2023-01-05 08:00:00,2316.544273937694,99588.99707742834,-1,HOLDING SHORT
2023-01-05 09:00:00,2306.4952305543134,99588.99707742834,-1,HOLDING SHORT
2023-01-05 10:00:00,2297.0395130352,99588.99707742834,-1,HOLDING SHORT
2023-01-05 11:00:00,2306.3849672725923,99588.99707742834,-1,HOLDING SHORT
2023-01-05 12:00:00,2292.4194902831246,99588.99707742834,-1,HOLDING SHORT
2023-01-05 13:00:00,2279.215312821264,99588.99707742834,-1,HOLDING SHORT
2023-01-05 14:00:00,2275.729761332996,99588.99707742834,-1,HOLDING SHORT
2023-01-05 15:00:00,2273.3453522333693,99588.99707742834,-1,HOLDING SHORT
2023-01-05 16:00:00,2244.1675081599255,99941.01179640341,0,EXIT SHORT: +352
2023-01-05 17:00:00,2237.6920235157177,99941.01179640341,0,NO SIGNAL
2023-01-05 18:00:00,2225.023430871197,99941.01179640341,0,NO SIGNAL
2023-01-05 19:00:00,2222.131635214931,99941.01179640341,0,NO SIGNAL
2023-01-05 20:00:00,2242.0633197723755,99941.01179640341,0,NO SIGNAL
2023-01-05 21:00:00,2268.285711391292,99941.01179640341,0,NO SIGNAL
2023-01-05 22:00:00,2245.5101870599274,99941.01179640341,0,NO SIGNAL
2023-01-05 23:00:00,2246.0039751711724,99941.01179640341,0,NO SIGNAL
2023-01-06 00:00:00,2235.0265080518857,99941.01179640341,0,NO SIGNAL
2023-01-06 01:00:00,2224.7787605203107,99941.01179640341,0,NO SIGNAL
2023-01-06 02:00:00,2228.2196970977766,99941.01179640341,0,NO SIGNAL
2023-01-06 03:00:00,2258.8087466690304,99941.01179640341,0,NO SIGNAL
2023-01-06 04:00:00,2232.122755540938,99941.01179640341,0,NO SIGNAL
2023-01-06 05:00:00,2229.7027103111964,99941.01179640341,0,NO SIGNAL
2023-01-06 06:00:00,2224.756081476802,99941.01179640341,0,NO SIGNAL
2023-01-06 07:00:00,2228.082869229561,99941.01179640341,0,NO SIGNAL
2023-01-06 08:00:00,2201.5699981498483,99941.01179640341,0,NO SIGNAL
2023-01-06 09:00:00,2202.5742607037773,99941.01179640341,0,NO SIGNAL
2023-01-06 10:00:00,2211.991257711005,99941.01179640341,0,NO SIGNAL
2023-01-06 11:00:00,2205.2430903316167,99941.01179640341,0,NO SIGNAL
2023-01-06 12:00:00,2206.3087882776376,99941.01179640341,0,NO SIGNAL
2023-01-06 13:00:00,2176.1245235289334,99941.01179640341,0,NO SIGNAL
2023-01-06 14:00:00,2174.786815124257,99941.01179640341,0,NO SIGNAL
2023-01-06 15:00:00,2171.0467439419385,99941.01179640341,0,NO SIGNAL
2023-01-06 16:00:00,2167.6578477735843,99941.01179640341,0,NO SIGNAL
2023-01-06 17:00:00,2167.78122591956,99941.01179640341,0,NO SIGNAL
2023-01-06 18:00:00,2161.9854709153715,99941.01179640341,0,NO SIGNAL
2023-01-06 19:00:00,2164.4452419959857,99941.01179640341,0,NO SIGNAL
2023-01-06 20:00:00,2183.6806821303403,99941.01179640341,0,NO SIGNAL
2023-01-06 21:00:00,2170.0551084528774,99941.01179640341,1,ENTER LONG: 2170.06
2023-01-06 22:00:00,2172.627000509448,99941.01179640341,1,HOLDING LONG
2023-01-06 23:00:00,2170.7282081913413,99941.01179640341,1,HOLDING LONG
2023-01-07 00:00:00,2175.20522184477,99941.01179640341,1,HOLDING LONG
2023-01-07 01:00:00,2185.8850555087356,99941.01179640341,1,HOLDING LONG
2023-01-07 02:00:00,2176.9278470744716,99941.01179640341,1,HOLDING LONG
2023-01-07 03:00:00,2198.1220609722914,99941.01179640341,1,HOLDING LONG
2023-01-07 04:00:00,2172.1609282851305,99941.01179640341,1,HOLDING LONG
2023-01-07 05:00:00,2170.4623105045125,99941.01179640341,1,HOLDING LONG
2023-01-07 06:00:00,2164.817270026643,99941.01179640341,1,HOLDING LONG
2023-01-07 07:00:00,2150.782442314832,99941.01179640341,1,HOLDING LONG
2023-01-07 08:00:00,2136.0726053874873,99941.01179640341,1,HOLDING LONG
2023-01-07 09:00:00,2132.2570119016536,99941.01179640341,1,HOLDING LONG
2023-01-07 10:00:00,2121.6910798259023,99718.27321540138,0,STOP LOSS LONG: -223
2023-01-07 11:00:00,2101.257051865598,99718.27321540138,0,NO SIGNAL
2023-01-07 12:00:00,2094.143735473597,99718.27321540138,0,NO SIGNAL
2023-01-07 13:00:00,2084.441518444322,99718.27321540138,0,NO SIGNAL
2023-01-07 14:00:00,2102.5028095218395,99718.27321540138,0,NO SIGNAL
2023-01-07 15:00:00,2100.704142763583,99718.27321540138,0,NO SIGNAL
2023-01-07 16:00:00,2094.2022948975678,99718.27321540138,0,NO SIGNAL
2023-01-07 17:00:00,2092.953616112434,99718.27321540138,0,NO SIGNAL
2023-01-07 18:00:00,2080.8622697497685,99718.27321540138,0,NO SIGNAL
2023-01-07 19:00:00,2063.5785637754293,99718.27321540138,0,NO SIGNAL
2023-01-07 20:00:00,2072.725753089725,99718.27321540138,0,NO SIGNAL
2023-01-07 21:00:00,2077.411516148429,99718.27321540138,0,NO SIGNAL
2023-01-07 22:00:00,2060.527485641227,99718.27321540138,0,NO SIGNAL
2023-01-07 23:00:00,2052.5712635269592,99718.27321540138,0,NO SIGNAL
2023-01-08 00:00:00,2042.7100376815822,99718.27321540138,0,NO SIGNAL
2023-01-08 01:00:00,2044.195586101213,99718.27321540138,0,NO SIGNAL
2023-01-08 02:00:00,2054.787675725962,99718.27321540138,0,NO SIGNAL
2023-01-08 03:00:00,2061.0725762338525,99718.27321540138,1,ENTER LONG: 2061.07
2023-01-08 04:00:00,2055.7637850252127,99718.27321540138,1,HOLDING LONG
2023-01-08 05:00:00,2037.1298467162435,99718.27321540138,1,HOLDING LONG
2023-01-08 06:00:00,2057.1216557154526,99718.27321540138,1,HOLDING LONG
2023-01-08 07:00:00,2044.2169215396768,99718.27321540138,1,HOLDING LONG
2023-01-08 08:00:00,2043.0556792867585,99718.27321540138,1,HOLDING LONG
2023-01-08 09:00:00,2053.656602416945,99718.27321540138,1,HOLDING LONG
2023-01-08 10:00:00,2066.512483435359,99718.27321540138,1,HOLDING LONG
2023-01-08 11:00:00,2054.962187697957,99718.27321540138,1,HOLDING LONG
2023-01-08 12:00:00,2068.4905688357435,99718.27321540138,1,HOLDING LONG
2023-01-08 13:00:00,2057.384470391457,99718.27321540138,1,HOLDING LONG
2023-01-08 14:00:00,2061.1439148242875,99718.27321540138,1,HOLDING LONG
2023-01-08 15:00:00,2060.677183861471,99718.27321540138,1,HOLDING LONG
2023-01-08 16:00:00,2060.1284993529616,99718.27321540138,1,HOLDING LONG
2023-01-08 17:00:00,2055.574970447181,99718.27321540138,1,HOLDING LONG
2023-01-08 18:00:00,2053.0964236499926,99718.27321540138,1,HOLDING LONG
2023-01-08 19:00:00,2058.7752370750777,99718.27321540138,1,HOLDING LONG
2023-01-08 20:00:00,2069.221985233994,99718.27321540138,1,HOLDING LONG
2023-01-08 21:00:00,2068.7095504816416,99718.27321540138,1,HOLDING LONG
2023-01-08 22:00:00,2079.9435014857204,99718.27321540138,1,HOLDING LONG
2023-01-08 23:00:00,2068.6597746121265,99718.27321540138,1,HOLDING LONG
2023-01-09 00:00:00,2069.832744009948,99718.27321540138,1,HOLDING LONG
2023-01-09 01:00:00,2059.2246579272432,99718.27321540138,1,HOLDING LONG
2023-01-09 02:00:00,2055.1965728797522,99718.27321540138,1,HOLDING LONG
2023-01-09 03:00:00,2078.023336083987,99718.27321540138,1,HOLDING LONG
2023-01-09 04:00:00,2067.3281506678554,99718.27321540138,1,HOLDING LONG
2023-01-09 05:00:00,2051.847896506954,99718.27321540138,1,HOLDING LONG
2023-01-09 06:00:00,2053.9161385777384,99718.27321540138,1,HOLDING LONG
2023-01-09 07:00:00,2049.4040111915065,99718.27321540138,1,HOLDING LONG
2023-01-09 08:00:00,2055.6134596671877,99691.86106070162,0,EXIT LONG: -26
2023-01-09 09:00:00,2032.9352280208861,99691.86106070162,0,NO SIGNAL
2023-01-09 10:00:00,2033.0696169546666,99691.86106070162,0,NO SIGNAL
2023-01-09 11:00:00,2044.9276164407167,99691.86106070162,0,NO SIGNAL
2023-01-09 12:00:00,2045.8587212714149,99691.86106070162,0,NO SIGNAL
2023-01-09 13:00:00,2056.6851761781095,99691.86106070162,0,NO SIGNAL
2023-01-09 14:00:00,2072.912476537392,99691.86106070162,0,NO SIGNAL
2023-01-09 15:00:00,2063.0065148589997,99691.86106070162,0,NO SIGNAL
2023-01-09 16:00:00,2077.4031929948405,99691.86106070162,0,NO SIGNAL
2023-01-09 17:00:00,2079.529845259952,99691.86106070162,0,NO SIGNAL
